,date,N° of Registrations,Country_Name,Country_ISO_A3
0,2022-02-01,1.0,Andorra,AND
1,2022-10-02,1.0,Andorra,AND
2,2022-01-01,1.0,United Arab Emirates,ARE
3,2022-01-02,4.0,United Arab Emirates,ARE
4,2022-01-04,2.0,United Arab Emirates,ARE
5,2022-01-06,3.0,United Arab Emirates,ARE
6,2022-01-13,4.0,United Arab Emirates,ARE
7,2022-01-14,2.0,United Arab Emirates,ARE
8,2022-01-16,1.0,United Arab Emirates,ARE
9,2022-01-17,1.0,United Arab Emirates,ARE
10,2022-01-18,1.0,United Arab Emirates,ARE
11,2022-01-19,1.0,United Arab Emirates,ARE
12,2022-01-20,1.0,United Arab Emirates,ARE
13,2022-01-21,1.0,United Arab Emirates,ARE
14,2022-01-22,2.0,United Arab Emirates,ARE
15,2022-01-23,2.0,United Arab Emirates,ARE
16,2022-01-24,2.0,United Arab Emirates,ARE
17,2022-01-25,4.0,United Arab Emirates,ARE
18,2022-01-26,2.0,United Arab Emirates,ARE
19,2022-01-27,3.0,United Arab Emirates,ARE
20,2022-01-29,2.0,United Arab Emirates,ARE
21,2022-01-30,2.0,United Arab Emirates,ARE
22,2022-02-01,1.0,United Arab Emirates,ARE
23,2022-02-02,1.0,United Arab Emirates,ARE
24,2022-02-05,1.0,United Arab Emirates,ARE
25,2022-02-06,1.0,United Arab Emirates,ARE
26,2022-02-09,2.0,United Arab Emirates,ARE
27,2022-02-15,2.0,United Arab Emirates,ARE
28,2022-02-16,1.0,United Arab Emirates,ARE
29,2022-02-17,1.0,United Arab Emirates,ARE
30,2022-02-20,1.0,United Arab Emirates,ARE
31,2022-02-21,1.0,United Arab Emirates,ARE
32,2022-02-22,1.0,United Arab Emirates,ARE
33,2022-02-23,2.0,United Arab Emirates,ARE
34,2022-03-01,3.0,United Arab Emirates,ARE
35,2022-03-04,1.0,United Arab Emirates,ARE
36,2022-03-06,1.0,United Arab Emirates,ARE
37,2022-03-07,1.0,United Arab Emirates,ARE
38,2022-03-10,1.0,United Arab Emirates,ARE
39,2022-03-11,2.0,United Arab Emirates,ARE
40,2022-03-13,2.0,United Arab Emirates,ARE
41,2022-03-14,1.0,United Arab Emirates,ARE
42,2022-03-15,1.0,United Arab Emirates,ARE
43,2022-03-17,2.0,United Arab Emirates,ARE
44,2022-03-18,1.0,United Arab Emirates,ARE
45,2022-03-19,2.0,United Arab Emirates,ARE
46,2022-03-20,1.0,United Arab Emirates,ARE
47,2022-03-21,3.0,United Arab Emirates,ARE
48,2022-03-23,1.0,United Arab Emirates,ARE
49,2022-03-24,1.0,United Arab Emirates,ARE
50,2022-03-26,1.0,United Arab Emirates,ARE
51,2022-03-27,1.0,United Arab Emirates,ARE
52,2022-03-30,1.0,United Arab Emirates,ARE
53,2022-03-31,2.0,United Arab Emirates,ARE
54,2022-04-03,1.0,United Arab Emirates,ARE
55,2022-04-04,1.0,United Arab Emirates,ARE
56,2022-04-05,1.0,United Arab Emirates,ARE
57,2022-04-07,5.0,United Arab Emirates,ARE
58,2022-04-08,2.0,United Arab Emirates,ARE
59,2022-04-09,2.0,United Arab Emirates,ARE
60,2022-04-10,1.0,United Arab Emirates,ARE
61,2022-04-13,1.0,United Arab Emirates,ARE
62,2022-04-14,1.0,United Arab Emirates,ARE
63,2022-04-15,1.0,United Arab Emirates,ARE
64,2022-04-16,2.0,United Arab Emirates,ARE
65,2022-04-18,1.0,United Arab Emirates,ARE
66,2022-04-19,1.0,United Arab Emirates,ARE
67,2022-04-20,1.0,United Arab Emirates,ARE
68,2022-04-22,1.0,United Arab Emirates,ARE
69,2022-04-25,2.0,United Arab Emirates,ARE
70,2022-04-26,1.0,United Arab Emirates,ARE
71,2022-04-27,1.0,United Arab Emirates,ARE
72,2022-04-29,1.0,United Arab Emirates,ARE
73,2022-05-02,1.0,United Arab Emirates,ARE
74,2022-05-05,1.0,United Arab Emirates,ARE
75,2022-05-12,1.0,United Arab Emirates,ARE
76,2022-05-13,2.0,United Arab Emirates,ARE
77,2022-05-15,2.0,United Arab Emirates,ARE
78,2022-05-16,1.0,United Arab Emirates,ARE
79,2022-05-17,1.0,United Arab Emirates,ARE
80,2022-05-19,1.0,United Arab Emirates,ARE
81,2022-05-20,2.0,United Arab Emirates,ARE
82,2022-05-22,2.0,United Arab Emirates,ARE
83,2022-05-23,1.0,United Arab Emirates,ARE
84,2022-05-24,1.0,United Arab Emirates,ARE
85,2022-05-25,1.0,United Arab Emirates,ARE
86,2022-05-28,1.0,United Arab Emirates,ARE
87,2022-05-29,1.0,United Arab Emirates,ARE
88,2022-05-30,2.0,United Arab Emirates,ARE
89,2022-06-01,4.0,United Arab Emirates,ARE
90,2022-06-02,8.0,United Arab Emirates,ARE
91,2022-06-03,4.0,United Arab Emirates,ARE
92,2022-06-06,1.0,United Arab Emirates,ARE
93,2022-06-07,1.0,United Arab Emirates,ARE
94,2022-06-08,3.0,United Arab Emirates,ARE
95,2022-06-09,1.0,United Arab Emirates,ARE
96,2022-06-11,1.0,United Arab Emirates,ARE
97,2022-06-16,2.0,United Arab Emirates,ARE
98,2022-06-19,4.0,United Arab Emirates,ARE
99,2022-06-20,1.0,United Arab Emirates,ARE
100,2022-06-21,4.0,United Arab Emirates,ARE
101,2022-06-22,2.0,United Arab Emirates,ARE
102,2022-06-23,1.0,United Arab Emirates,ARE
103,2022-06-28,1.0,United Arab Emirates,ARE
