,student_id,date_purchased,purchase_type,purchase_id,total_purchases
0,258800,2022-01-01,Annual,1,1
1,258803,2022-01-01,Annual,1,1
2,258818,2022-01-03,Annual,1,1
3,258822,2022-01-09,Monthly,1,1
4,258832,2022-03-05,Monthly,1,1
5,258862,2022-01-01,Annual,1,1
6,258865,2022-01-01,Annual,1,1
7,258878,2022-01-01,Annual,1,1
8,258883,2022-01-01,Annual,1,1
9,258908,2022-01-01,Monthly,1,1
10,258913,2022-01-27,Annual,1,1
11,258916,2022-01-02,Annual,1,1
12,258922,2022-01-04,Annual,1,1
13,258930,2022-02-19,Monthly,1,2
14,258930,2022-03-28,Annual,1,2
15,258955,2022-01-03,Annual,1,1
16,258956,2022-03-31,Monthly,1,4
17,258956,2022-04-30,Monthly,1,4
18,258956,2022-05-31,Monthly,1,4
19,258956,2022-06-30,Monthly,1,4
20,258971,2022-01-09,Monthly,1,1
21,258980,2022-01-08,Annual,1,1
22,258984,2022-01-02,Annual,1,1
23,259026,2022-01-04,Monthly,1,5
24,259026,2022-02-04,Monthly,1,5
25,259026,2022-03-04,Monthly,1,5
26,259026,2022-04-04,Monthly,1,5
27,259026,2022-05-04,Monthly,1,5
28,259028,2022-01-04,Monthly,1,1
29,259039,2022-01-02,Monthly,1,5
30,259039,2022-02-02,Monthly,1,5
31,259039,2022-03-02,Monthly,1,5
32,259039,2022-04-02,Monthly,1,5
33,259039,2022-05-02,Monthly,1,5
34,259054,2022-01-27,Annual,1,1
35,259070,2022-01-03,Annual,1,1
36,259106,2022-01-03,Annual,1,1
37,259171,2022-01-25,Quarterly,1,1
38,259174,2022-01-07,Annual,1,1
39,259190,2022-07-18,Annual,1,1
40,259209,2022-01-04,Annual,1,1
41,259258,2022-01-04,Monthly,1,10
42,259258,2022-02-04,Monthly,1,10
43,259258,2022-03-04,Monthly,1,10
44,259258,2022-04-04,Monthly,1,10
45,259258,2022-05-04,Monthly,1,10
46,259258,2022-06-04,Monthly,1,10
47,259258,2022-07-04,Monthly,1,10
48,259258,2022-08-04,Monthly,1,10
49,259258,2022-09-04,Monthly,1,10
50,259258,2022-09-30,Annual,1,10
51,259260,2022-01-08,Annual,1,1
52,259262,2022-01-11,Annual,1,1
53,259268,2022-01-05,Monthly,1,1
54,259273,2022-01-04,Monthly,1,1
55,259283,2022-01-09,Monthly,1,3
56,259283,2022-01-24,Annual,1,3
57,259283,2022-02-09,Monthly,1,3
58,259300,2022-01-26,Annual,1,1
59,259305,2022-01-05,Monthly,1,2
60,259305,2022-02-06,Monthly,1,2
61,259361,2022-07-28,Annual,1,1
62,259408,2022-01-05,Monthly,1,3
63,259408,2022-02-05,Monthly,1,3
64,259408,2022-03-05,Monthly,1,3
65,259429,2022-01-06,Annual,1,1
66,259437,2022-01-11,Annual,1,1
67,259447,2022-01-06,Annual,1,1
68,259464,2022-01-13,Monthly,1,1
69,259473,2022-01-10,Annual,1,1
70,259476,2022-01-09,Monthly,1,1
71,259483,2022-01-21,Annual,1,1
72,259486,2022-07-20,Annual,1,1
73,259491,2022-03-21,Annual,1,1
74,259494,2022-01-24,Annual,1,1
75,259504,2022-01-09,Monthly,1,2
76,259504,2022-03-27,Annual,1,2
77,259506,2022-01-12,Annual,1,1
78,259510,2022-01-07,Monthly,1,2
79,259510,2022-02-07,Monthly,1,2
80,259523,2022-01-25,Annual,1,1
81,259524,2022-01-26,Annual,1,1
82,259533,2022-03-27,Annual,1,1
83,259534,2022-01-06,Monthly,1,3
84,259534,2022-02-06,Monthly,1,3
85,259534,2022-03-06,Monthly,1,3
86,259549,2022-01-10,Annual,1,1
87,259614,2022-01-07,Annual,1,1
88,259635,2022-01-07,Annual,1,1
89,259657,2022-01-08,Annual,1,1
90,259664,2022-01-10,Annual,1,1
91,259684,2022-01-08,Annual,1,1
92,259689,2022-01-11,Monthly,1,2
93,259689,2022-02-11,Monthly,1,2
94,259702,2022-01-08,Monthly,1,10
95,259702,2022-02-08,Monthly,1,10
96,259702,2022-03-08,Monthly,1,10
97,259702,2022-04-08,Monthly,1,10
98,259702,2022-05-08,Monthly,1,10
99,259702,2022-06-08,Monthly,1,10
100,259702,2022-07-08,Monthly,1,10
101,259702,2022-08-08,Monthly,1,10
102,259702,2022-09-08,Monthly,1,10
103,259702,2022-10-08,Monthly,1,10
104,259727,2022-01-08,Annual,1,1
105,259731,2022-01-10,Monthly,1,1
106,259767,2022-01-09,Annual,1,1
107,259777,2022-01-09,Monthly,1,2
108,259777,2022-02-09,Annual,1,2
109,259781,2022-01-27,Annual,1,1
110,259834,2022-01-11,Annual,1,1
111,259846,2022-09-30,Annual,1,1
112,259860,2022-01-10,Monthly,1,6
113,259860,2022-02-10,Monthly,1,6
114,259860,2022-03-10,Monthly,1,6
115,259860,2022-04-10,Monthly,1,6
116,259860,2022-05-10,Monthly,1,6
117,259860,2022-05-29,Annual,1,6
118,259862,2022-01-09,Annual,1,1
119,259865,2022-01-10,Monthly,1,2
120,259865,2022-02-12,Monthly,1,2
121,259870,2022-01-28,Annual,1,1
122,259884,2022-04-07,Monthly,1,3
123,259884,2022-05-07,Monthly,1,3
124,259884,2022-05-30,Annual,1,3
125,259938,2022-01-10,Monthly,1,2
126,259938,2022-02-10,Monthly,1,2
127,259952,2022-01-10,Annual,1,1
128,259953,2022-01-10,Annual,1,1
129,259959,2022-01-10,Annual,1,1
130,259965,2022-01-10,Monthly,1,10
131,259965,2022-02-10,Monthly,1,10
132,259965,2022-03-10,Monthly,1,10
133,259965,2022-04-10,Monthly,1,10
134,259965,2022-05-10,Monthly,1,10
135,259965,2022-06-10,Monthly,1,10
136,259965,2022-07-10,Monthly,1,10
137,259965,2022-08-10,Monthly,1,10
138,259965,2022-09-10,Monthly,1,10
139,259965,2022-10-10,Monthly,1,10
140,259969,2022-01-12,Annual,1,1
141,259973,2022-01-11,Monthly,1,1
142,259996,2022-01-13,Monthly,1,8
143,259996,2022-02-13,Monthly,1,8
144,259996,2022-03-13,Monthly,1,8
145,259996,2022-04-13,Monthly,1,8
146,259996,2022-05-13,Monthly,1,8
147,259996,2022-06-13,Monthly,1,8
148,259996,2022-07-13,Monthly,1,8
149,259996,2022-08-13,Monthly,1,8
150,260024,2022-01-26,Annual,1,1
151,260029,2022-01-11,Annual,1,1
152,260033,2022-01-18,Annual,1,1
153,260042,2022-02-18,Annual,1,1
154,260111,2022-01-12,Annual,1,1
155,260126,2022-01-12,Annual,1,1
156,260132,2022-01-12,Annual,1,1
157,260164,2022-01-12,Quarterly,1,2
158,260164,2022-04-12,Quarterly,1,2
159,260168,2022-01-12,Annual,1,1
160,260173,2022-01-13,Quarterly,1,4
161,260173,2022-04-13,Quarterly,1,4
162,260173,2022-07-13,Quarterly,1,4
163,260173,2022-10-13,Quarterly,1,4
164,260176,2022-01-19,Annual,1,1
165,260180,2022-01-12,Monthly,1,5
166,260180,2022-02-12,Monthly,1,5
167,260180,2022-03-12,Monthly,1,5
168,260180,2022-04-12,Monthly,1,5
169,260180,2022-05-12,Monthly,1,5
170,260181,2022-01-12,Annual,1,1
171,260192,2022-01-13,Annual,1,1
172,260211,2022-01-14,Monthly,1,2
173,260211,2022-02-14,Monthly,1,2
174,260216,2022-01-21,Annual,1,1
175,260217,2022-01-13,Annual,1,1
176,260291,2022-01-13,Annual,1,1
177,260321,2022-01-15,Annual,1,1
178,260324,2022-01-13,Monthly,1,1
179,260329,2022-01-18,Annual,1,1
180,260334,2022-07-26,Annual,1,1
181,260335,2022-01-14,Annual,1,1
182,260345,2022-01-25,Annual,1,1
183,260354,2022-01-14,Monthly,1,2
184,260354,2022-02-14,Monthly,1,2
185,260356,2022-01-15,Monthly,1,3
186,260356,2022-02-18,Monthly,1,3
187,260356,2022-03-29,Annual,1,3
188,260423,2022-01-14,Annual,1,1
189,260465,2022-01-14,Monthly,1,10
190,260465,2022-02-14,Monthly,1,10
191,260465,2022-03-14,Monthly,1,10
192,260465,2022-04-14,Monthly,1,10
193,260465,2022-05-14,Monthly,1,10
194,260465,2022-06-14,Monthly,1,10
195,260465,2022-07-14,Monthly,1,10
196,260465,2022-08-14,Monthly,1,10
197,260465,2022-09-14,Monthly,1,10
198,260465,2022-10-14,Monthly,1,10
199,260483,2022-01-15,Annual,1,1
200,260486,2022-01-16,Annual,1,1
201,260494,2022-01-15,Monthly,1,1
202,260549,2022-01-15,Annual,1,1
203,260572,2022-01-19,Annual,1,1
204,260578,2022-01-15,Annual,1,1
205,260593,2022-01-17,Annual,1,1
206,260608,2022-01-20,Annual,1,1
207,260616,2022-01-16,Annual,1,1
208,260646,2022-01-16,Monthly,1,8
209,260646,2022-02-16,Monthly,1,8
210,260646,2022-03-16,Monthly,1,8
211,260646,2022-04-16,Monthly,1,8
212,260646,2022-05-16,Monthly,1,8
213,260646,2022-06-18,Monthly,1,8
214,260646,2022-07-16,Monthly,1,8
215,260646,2022-07-21,Annual,1,8
216,260649,2022-01-16,Annual,1,1
217,260664,2022-01-18,Annual,1,1
218,260684,2022-01-20,Annual,1,1
219,260698,2022-01-27,Annual,1,1
220,260702,2022-01-25,Annual,1,1
221,260707,2022-01-17,Annual,1,1
222,260742,2022-01-17,Monthly,1,2
223,260742,2022-02-17,Monthly,1,2
224,260754,2022-01-21,Annual,1,1
225,260774,2022-02-15,Monthly,1,1
226,260787,2022-01-26,Annual,1,1
227,260809,2022-01-17,Annual,1,1
228,260813,2022-01-21,Annual,1,1
229,260815,2022-01-17,Annual,1,1
230,260829,2022-01-18,Annual,1,1
231,260831,2022-01-22,Annual,1,1
232,260833,2022-05-11,Monthly,1,5
233,260833,2022-06-11,Monthly,1,5
234,260833,2022-07-11,Monthly,1,5
235,260833,2022-08-11,Monthly,1,5
236,260833,2022-09-11,Monthly,1,5
237,260834,2022-01-18,Annual,1,1
238,260842,2022-01-18,Annual,1,1
239,260850,2022-01-25,Monthly,1,1
240,260855,2022-01-18,Annual,1,1
241,260861,2022-03-07,Annual,1,1
242,260865,2022-01-18,Annual,1,1
243,260885,2022-01-18,Monthly,1,2
244,260885,2022-02-18,Monthly,1,2
245,260891,2022-01-18,Annual,1,1
246,260898,2022-01-19,Monthly,1,1
247,260909,2022-01-18,Monthly,1,1
248,260910,2022-01-19,Annual,1,1
249,260913,2022-01-19,Monthly,1,1
250,260915,2022-01-25,Annual,1,1
251,260916,2022-01-25,Annual,1,1
252,260920,2022-01-19,Annual,1,1
253,260929,2022-05-25,Annual,1,1
254,260952,2022-01-19,Annual,1,1
255,260954,2022-01-19,Annual,1,1
256,260964,2022-03-07,Monthly,1,2
257,260964,2022-03-30,Annual,1,2
258,260968,2022-01-19,Annual,1,1
259,260971,2022-01-19,Annual,1,1
260,260977,2022-01-19,Annual,1,1
261,260980,2022-01-27,Annual,1,1
262,260988,2022-01-19,Annual,1,1
263,260991,2022-01-19,Annual,1,1
264,260998,2022-01-20,Annual,1,1
265,261003,2022-01-22,Annual,1,1
266,261004,2022-06-01,Annual,1,1
