,student_id,course_id,student_country,date_registered,tot_exams_attempts,avg_exam_result,avg_exam_completion_time,quizz_quesitons_answered,questions_posted,engagement_quizzes,engagement_exams,engagement_lessons,tot_purchases
0,258798,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
1,258800,29.0,CA,2022-01-01,8.0,59.875,11.05,63.0,,10.0,5.0,29.0,1.0
2,258803,19.0,US,2022-01-01,7.0,87.85714285714286,3.4885714285714284,45.0,2.0,7.0,4.0,19.0,1.0
3,258804,1.0,BD,2022-01-01,,,,5.0,,1.0,0.0,1.0,
4,258807,1.0,US,2022-01-01,,,,,,0.0,0.0,1.0,
5,258809,3.0,ID,2022-01-01,,,,16.0,,2.0,0.0,3.0,
6,258810,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
7,258811,4.0,DZ,2022-01-01,,,,10.0,,4.0,0.0,4.0,
8,258812,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
9,258813,1.0,ET,2022-01-01,,,,,,0.0,0.0,1.0,
10,258814,2.0,IN,2022-01-01,,,,,,0.0,0.0,2.0,
11,258815,1.0,EG,2022-01-01,4.0,41.75,7.1425,,,0.0,1.0,1.0,
12,258816,1.0,KE,2022-01-01,,,,,,0.0,0.0,1.0,
13,258817,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
14,258818,77.0,IN,2022-01-01,11.0,57.63636363636363,4.919090909090909,85.0,1.0,23.0,6.0,77.0,1.0
15,258819,1.0,ES,2022-01-01,,,,5.0,,1.0,0.0,1.0,
16,258822,15.0,IN,2022-01-01,13.0,63.38461538461539,14.923076923076923,47.0,2.0,8.0,7.0,15.0,1.0
17,258824,1.0,US,2022-01-01,,,,,,0.0,0.0,1.0,
18,258826,1.0,CN,2022-01-01,,,,,,0.0,0.0,1.0,
19,258827,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
20,258828,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
21,258829,1.0,BR,2022-01-01,,,,,,0.0,0.0,1.0,
22,258830,1.0,BY,2022-01-01,,,,,,0.0,0.0,1.0,
23,258831,1.0,SG,2022-01-01,,,,,,0.0,0.0,1.0,
24,258832,11.0,IN,2022-01-01,5.0,63.4,8.634,11.0,,3.0,5.0,11.0,1.0
25,258833,1.0,IN,2022-01-01,,,,,,0.0,0.0,1.0,
26,258834,1.0,GB,2022-01-01,,,,2.0,,1.0,0.0,1.0,
27,258837,3.0,ID,2022-01-01,,,,19.0,,3.0,0.0,3.0,
28,258840,2.0,SA,2022-01-01,,,,9.0,,1.0,0.0,2.0,
29,258841,2.0,JP,2022-01-01,,,,,,0.0,0.0,2.0,
30,258845,23.0,ID,2022-01-01,2.0,66.5,5.75,102.0,,15.0,2.0,23.0,
31,258846,1.0,US,2022-01-01,,,,,,0.0,0.0,1.0,
32,258848,1.0,RU,2022-01-01,,,,,,0.0,0.0,1.0,
33,258849,1.0,IN,2022-01-01,,,,2.0,,1.0,0.0,1.0,
34,258851,1.0,HT,2022-01-01,,,,1.0,,1.0,0.0,1.0,
35,258852,1.0,SA,2022-01-01,,,,,,0.0,0.0,1.0,
36,258855,1.0,GB,2022-01-01,,,,,,0.0,0.0,1.0,
37,258857,1.0,AZ,2022-01-01,,,,7.0,,1.0,0.0,1.0,
38,258860,1.0,PL,2022-01-01,,,,1.0,,1.0,0.0,1.0,
39,258861,2.0,IN,2022-01-01,,,,4.0,,1.0,0.0,2.0,
40,258862,21.0,NL,2022-01-01,15.0,71.06666666666666,7.298,129.0,,15.0,8.0,21.0,1.0
41,258865,14.0,CA,2022-01-01,4.0,75.0,3.7725,32.0,,6.0,4.0,14.0,1.0
42,258869,1.0,VN,2022-01-01,,,,,,0.0,0.0,1.0,
43,258870,3.0,GB,2022-01-01,,,,,,0.0,0.0,3.0,
44,258871,1.0,CA,2022-01-01,,,,,,0.0,0.0,1.0,
45,258872,1.0,CO,2022-01-01,7.0,54.714285714285715,1.05,11.0,,1.0,1.0,1.0,
46,258876,5.0,FR,2022-01-01,,,,11.0,,4.0,0.0,5.0,
47,258878,2.0,CA,2022-01-01,3.0,64.0,4.66,31.0,,2.0,1.0,2.0,1.0
48,258879,1.0,LY,2022-01-01,,,,,,0.0,0.0,1.0,
49,258880,3.0,RU,2022-01-01,,,,7.0,,3.0,0.0,3.0,
50,258881,1.0,EG,2022-01-01,,,,9.0,,1.0,0.0,1.0,
51,258882,1.0,US,2022-01-01,,,,,,0.0,0.0,1.0,
52,258883,3.0,US,2022-01-01,1.0,33.0,4.78,10.0,,2.0,1.0,3.0,1.0
53,258884,1.0,EG,2022-01-01,,,,,,0.0,0.0,1.0,
54,258885,2.0,MD,2022-01-01,2.0,66.5,3.95,11.0,,2.0,1.0,2.0,
55,258887,1.0,SA,2022-01-01,,,,,,0.0,0.0,1.0,
56,258888,1.0,GB,2022-01-01,,,,,,0.0,0.0,1.0,
57,258890,1.0,RU,2022-01-01,,,,,,0.0,0.0,1.0,
58,258892,3.0,MX,2022-01-01,,,,,,0.0,0.0,3.0,
59,258893,1.0,AE,2022-01-01,,,,5.0,,1.0,0.0,1.0,
60,258894,1.0,US,2022-01-01,,,,11.0,,1.0,0.0,1.0,
61,258895,1.0,EG,2022-01-01,,,,2.0,,1.0,0.0,1.0,
62,258897,1.0,AR,2022-01-01,,,,,,0.0,0.0,1.0,
63,258902,2.0,NG,2022-01-01,,,,2.0,,1.0,0.0,2.0,
64,258903,1.0,US,2022-01-01,,,,2.0,,1.0,0.0,1.0,
65,258904,6.0,SA,2022-01-01,,,,13.0,,3.0,0.0,6.0,
66,258905,1.0,NG,2022-01-01,,,,,,0.0,0.0,1.0,
67,258906,9.0,EG,2022-01-01,7.0,80.85714285714286,3.8071428571428574,11.0,,4.0,2.0,9.0,
68,258907,1.0,EG,2022-01-01,,,,2.0,,1.0,0.0,1.0,
69,258908,10.0,US,2022-01-01,3.0,72.33333333333333,7.543333333333333,94.0,,3.0,2.0,10.0,1.0
70,258910,1.0,EG,2022-01-02,,,,1.0,,1.0,0.0,1.0,
71,258912,3.0,IN,2022-01-02,,,,2.0,,1.0,0.0,3.0,
72,258913,41.0,US,2022-01-02,26.0,73.6923076923077,3.1103846153846155,76.0,,10.0,9.0,41.0,1.0
73,258914,1.0,LK,2022-01-02,,,,,,0.0,0.0,1.0,
74,258915,3.0,SA,2022-01-02,,,,8.0,,2.0,0.0,3.0,
75,258916,9.0,CA,2022-01-02,11.0,72.54545454545455,1.6109090909090908,97.0,,8.0,3.0,9.0,1.0
76,258917,1.0,US,2022-01-02,,,,1.0,,1.0,0.0,1.0,
77,258920,1.0,PH,2022-01-02,,,,21.0,,1.0,0.0,1.0,
78,258922,15.0,US,2022-01-02,7.0,71.42857142857143,4.567142857142857,32.0,,6.0,2.0,15.0,1.0
79,258924,9.0,EG,2022-01-02,,,,8.0,,1.0,0.0,9.0,
80,258925,1.0,ID,2022-01-02,,,,,,0.0,0.0,1.0,
81,258927,2.0,IN,2022-01-02,,,,,,0.0,0.0,2.0,
82,258929,2.0,US,2022-01-02,2.0,75.0,2.24,10.0,,2.0,1.0,2.0,
83,258930,13.0,SA,2022-01-02,5.0,80.0,3.518,32.0,,10.0,3.0,13.0,2.0
84,258933,2.0,US,2022-01-02,,,,,,0.0,0.0,2.0,
85,258936,2.0,IN,2022-01-02,,,,,,0.0,0.0,2.0,
86,258939,1.0,US,2022-01-02,,,,,,0.0,0.0,1.0,
87,258940,2.0,DE,2022-01-02,,,,,,0.0,0.0,2.0,
88,258947,1.0,IN,2022-01-02,,,,,,0.0,0.0,1.0,
89,258951,7.0,EG,2022-01-02,1.0,83.0,9.08,2.0,,1.0,1.0,7.0,
90,258954,1.0,IQ,2022-01-02,,,,,,0.0,0.0,1.0,
91,258955,12.0,AE,2022-01-02,12.0,80.25,7.084166666666666,24.0,,4.0,7.0,12.0,1.0
92,258956,17.0,IN,2022-01-02,10.0,85.0,5.345,66.0,,9.0,7.0,17.0,4.0
93,258957,1.0,ZA,2022-01-02,,,,,,0.0,0.0,1.0,
94,258959,1.0,IN,2022-01-02,,,,,,0.0,0.0,1.0,
95,258960,1.0,CN,2022-01-02,,,,,,0.0,0.0,1.0,
96,258962,1.0,EG,2022-01-02,,,,,,0.0,0.0,1.0,
97,258965,1.0,IN,2022-01-02,,,,,,0.0,0.0,1.0,
98,258967,1.0,NL,2022-01-02,,,,,,0.0,0.0,1.0,
99,258969,1.0,US,2022-01-02,,,,,,0.0,0.0,1.0,
100,258970,1.0,GM,2022-01-02,,,,6.0,,1.0,0.0,1.0,
101,258971,20.0,IL,2022-01-02,8.0,75.125,8.9825,51.0,,11.0,3.0,20.0,1.0
102,258973,1.0,US,2022-01-02,,,,,,0.0,0.0,1.0,
103,258974,1.0,SA,2022-01-02,,,,6.0,,1.0,0.0,1.0,
104,258979,2.0,SA,2022-01-02,,,,,,0.0,0.0,2.0,
105,258980,10.0,MX,2022-01-02,8.0,72.5,8.16375,24.0,,2.0,7.0,10.0,1.0
106,258982,1.0,TH,2022-01-02,,,,,,0.0,0.0,1.0,
107,258984,19.0,DE,2022-01-02,15.0,76.6,2.558666666666667,53.0,,11.0,5.0,19.0,1.0
108,258987,1.0,ES,2022-01-02,,,,,,0.0,0.0,1.0,
109,258989,1.0,IN,2022-01-02,,,,,,0.0,0.0,1.0,
110,258991,1.0,MA,2022-01-02,,,,,,0.0,0.0,1.0,
111,258993,1.0,SA,2022-01-02,,,,,,0.0,0.0,1.0,
112,258994,3.0,GB,2022-01-02,,,,10.0,,3.0,0.0,3.0,
113,258996,3.0,SA,2022-01-02,,,,4.0,,3.0,0.0,3.0,
114,258997,1.0,NG,2022-01-02,,,,1.0,,1.0,0.0,1.0,
115,258998,1.0,SA,2022-01-02,,,,,,0.0,0.0,1.0,
116,258999,1.0,IN,2022-01-02,,,,,,0.0,0.0,1.0,
117,259000,3.0,SA,2022-01-02,,,,11.0,,1.0,0.0,3.0,
118,259001,2.0,AE,2022-01-02,,,,,,0.0,0.0,2.0,
119,259002,3.0,SA,2022-01-02,,,,14.0,,3.0,0.0,3.0,
120,259005,4.0,TR,2022-01-02,,,,,,0.0,0.0,4.0,
121,259008,1.0,US,2022-01-02,,,,,,0.0,0.0,1.0,
122,259011,51.0,GB,2022-01-02,20.0,85.25,14.534,84.0,,14.0,14.0,51.0,
123,259012,3.0,SA,2022-01-02,4.0,70.75,3.15,,,0.0,2.0,3.0,
